DATE	A00	B00	C00	D00	E00	F00
220204	0/20	0/20	0/20	0/20	0/20	0/20
220212	1/20	0/20	0/20	0/20	0/20	0/20
220213	1/20	0/20	1/20	2/20	3/20	1/20
220214	1/20	0/20	1/20	3/20	3/20	1/20
220215	4/20	0/20	1/20	4/20	5/20	3/20
220216	10/20	1/20	9/20	20/20	20/20	20/20
220216	20/20	11/20	15/20	20/20	20/20	20/20
220217	20/20	11/20	18/20	20/20	20/20	20/20
220218	20/20	13/20	19/20	20/20	20/20	20/20
220219	20/20	15/20	19/20	20/20	20/20	20/20
220221	20/20	20/20	20/20 WL1	20/20	20/20 WL1	20/20
220222	20/20	20/20	20/20 WL1	20/20	20/20 WL1	20/20 WL1
220223	20/20 WL5	20/20 WL4	20/20 WL6	20/20 WL4	20/20 WL5	20/20 WL4
220224	20/20 WL6	20/20 WL4	20/20 WL6	20/20 WL5	20/20 WL6	20/20 WL5
220225	20/20 WL7	20/20 WL7	20/20 WL6	20/20 WL6	20/20 WL8	20/20 WL7
220226	20/20 WL8	20/20 WL7	20/20 WL6	20/20 WL6	20/20 WL7	20/20 WL7
220228	20/20 WL10	20/20 WL7	20/20 WL6	20/20 WL6	20/20 WL7	20/20 WL7
220301	20/20 WL11	20/20 WL7	20/20 WL6	20/20 WL7	20/20 WL7	20/20 WL7
220302	20/20 WL11	20/20 WL8	20/20 WL6	20/20 WL7	20/20 WL7	20/20 WL7
220304	20/20 WL10	20/20 WL8	20/20 WL5	20/20 WL7	20/20 WL7	20/20 WL7
